root_id,processed_labels
720575940605328230,"['ORN_DM1; Or42b; FBbt_00067046', 'DM1 / Or42b ORN', 'antennal lobe olfactory and thermo/hygrosensory receptor neuron (ALRN)']"
720575940605332070,['Lamina Monopolar L5']
720575940605335910,['T5c; FBbt_00003739']
720575940605335980,['ocellar retinula cell']
720575940605345410,['Lamina monopolar 3; L3']
720575940605353760,['Lamina Monopolar L2']
720575940605374910,['T5a; FBbt_00003737']
720575940605376800,['LHl4_anterior']
720575940605386930,['Lobula Columnar neuron 11; LC11; Lcn11; FBbt_00100483']
720575940605389740,['Mi2; Medullary intrinsic neuron 2; FBbt_00003777']
720575940605392160,"['T5a; FBbt_00003737', 'T5']"
720575940605399520,['Retinula axon 1-6; R1-6']
720575940605408870,['T5b; FBbt_00003738']
720575940605410220,['Dm3; Distal medullary amacrine neuron 3; Fbbt_00003770']
720575940605411040,['Tm2: Transmedullary neuron 2; FBbt_00003790']
720575940605421670,"['Kenyon_cell, KC alpha beta, KC ab']"
720575940605429950,['T2; FBbt_00003728']
720575940605431840,"['Kenyon_cell, KC gamma, KC y']"
720575940605443500,['T2; FBbt_00003728']
720575940605445600,['(new type) Medulla tangential 113_M4567-PLP064.SLP365.PLP129; Mt113_M4567-PLP064.SLP365.PLP129']
720575940605446590,['T4d; FBbt_00003735']
720575940605451180,['Centrifugal 3; C3']
720575940605468640,['Dm10; Distal medullary amacrine neuron 10; FBbt_00110135']
720575940605470310,['T4c; FBbt_00003734']
720575940605478590,"['lobula columnar neuron LC24; (e.g. Panser et al. Curr Biol 2016, Wu et al. eLife 2016)']"
720575940605479870,['T3; FBbt_00003730']
720575940605490790,['Mi4; Medullary intrinsic neuron 4; FBbt_00003779']
720575940605492670,['T5b; FBbt_00003738']
720575940605494240,"['Transmedullary Y neuron 17, TmY17 (A. Nern naming system)']"
720575940605505760,['Mi14; Medullary intrinsic neuron 14; FBbt_00111284']
720575940605508320,"['Transmedullary neuron 20, Tm20, Tm20, [FBbt_00003808] (Fischbach and Dittrich, 1989, and Neuprint)']"
720575940605511870,"['Transmedullary 27Y; Tm27Y', 'Transmedullary Y 12; TmY12']"
720575940605524960,['Mi10; Medullary intrinsic neuron 10; FBbt_00003785']
720575940605527910,['Lobula-Lobula Plate Columnar neuron 1; LLPC1; Lccn2; FBbt_00058227']
720575940605540030,['Mi13; Medullary intrinsic neuron 13; FBbt_00111283']
720575940605544370,"['Kenyon_cell, KC alpha beta, KC ab']"
720575940605564640,['T2; FBbt_00003728']
720575940605566310,['T5c; FBbt_00003739']
720575940605571040,['Retinula axon; R1-6']
720575940605575090,['tm21']
720575940605579110,"['ORN_DA4l; Or43a; FBbt_00067048', 'antennal lobe olfactory and thermo/hygrosensory receptor neuron (ALRN)']"
720575940605604780,['Dm10; Distal medullary amacrine neuron 10; FBbt_00110135']
720575940605608160,['Retinula axon; R1-6']
720575940605609830,['T4a; FBbt_00003732']
720575940605612000,['Transmedullary 25; Tm25']
720575940605618720,['tm21']
720575940605630850,['MeTu1']
720575940605632190,"['transmedullary neuron Tm9, FBbt_00003797 (Fischbach and Dittrich 1989)']"
720575940605634220,['Retinula axon 1-6; R1-6']
720575940605640160,['L5']
720575940605644390,['Mi15; Medullary intrinsic neuron 15; FBbt_00111285']
720575940605649440,['Transmedullary 5; Tm5']
720575940605652140,"['DmDRA1', 'Medulla intrinsic 15; Mi15', 'Mti_unknown_25']"
720575940605653420,['Transmedullary Y 5a; TmY5a']
720575940605654700,['Tm24; Transmedullary neuron 24; FBbt_00003812']
720575940605658540,['T4c; FBbt_00003734']
720575940605660350,"['Dm3q', 'Dm3; Distal medullary amacrine neuron 3; FBbt_00003770']"
720575940605676210,['VLPl&p1_lateral']
720575940605678270,['Transmedullary 20; Tm20']
720575940605680300,['Retinula axon 1-6; R1-6']
720575940605682720,['Centrifugal 3; C3']
720575940605684140,['T2; FBbt_00003728']
720575940605685420,['Dm3v']
720575940605700780,['TmY3; Transmedullary Y neuron 3; FBbt_00003820']
720575940605705650,"['Kenyon_cell, KC alpha beta, KC ab']"
720575940605705830,['Dm3; Distal medullary amacrine neuron 3; FBbt_00003770']
720575940605706430,['Centrifugal 3; C3; FBbt_00003744']
720575940605709740,['Tm1; Transmedullary neuron 1; FBbt_00003789']
720575940605716670,"['Dm3v', 'Dm3; Distal medullary amacrine neuron 3; FBbt_00003770']"
720575940605725920,"['Centrifugal neuron 3, C3, FBbt_00003744 (Fischbach & Dittrich, 1989)']"
720575940605740460,['Retinula axon; R1-6']
720575940605748960,['Retinula axon 1-6; R1-6']
720575940605749950,['T2a; FBbt_00003729']
720575940605763040,['Lamina monopolar 3; L3']
720575940605764030,['T5a; FBbt_00003737']
720575940605764320,['Retinula axon 1-6; R1-6']
720575940605771040,['tm21']
720575940605773740,['Tm3; Transmedullary neuron 3; FBbt_00003791']
720575940605777120,['Retinula axon; R1-6']
720575940605779680,['Retinula axon 1-6; R1-6']
720575940605783840,['T3; FBbt_00003730']
720575940605793470,['TmY15; Transmedullary Y neuron 15; FBbt_00048246']
720575940605800160,"['TmY10; Transmedullary Y neuron 10; FBbt_00003828', 'Transmedullary neuron 5c, Tm5c, [FBbt_00110074] (Gao et al. 2008)']"
720575940605804990,"['(new type) Transmedullary 113_M68-L5; Tm113_M68-L5', '(new type) Transmedullary 108_M68-L5; Tm108_M68-L5', '(new type) Transmedullary 100_M68-L5; Tm100_M68-L5', '(new type) Transmedullary 103_M6-L5; Tm103_M6-L5']"
720575940605805600,['Tm4; Transmedullary neuron 4; FBbt_00003792']
720575940605807840,['Lamina monopolar 5; L5']
720575940605809580,['Dm11; Distal medullary amacrine neuron 11; FBbt_00111272']
720575940605810720,['T2a; FBbt_00003729']
720575940605813350,"['T5d; FBbt_00003740', 'T5']"
720575940605819680,['Transmedullary Y 5a; TmY5a']
720575940605829250,['Mi2; Medullary intrinsic neuron 2; FBbt_00003777']
720575940605838560,"['Lai, Lamina intrinsic neuron; FBbt_00003746']"
720575940605838950,['TmY10; Transmedullary Y neuron 10; FBbt_00003828']
720575940605842780,['Lamina monopolar 3; L3']
720575940605860710,"['JO-E', 'Sensory Neuron']"
720575940605861310,['Centrifugal 3; C3; FBbt_00003744']
720575940605867040,"['medial ocellar retinula cell', 'ocellar retinula cell']"
720575940605876140,['T3; FBbt_00003730']
720575940605882470,['Lamina monopolar 3; L3']
720575940605884350,['Tm1; Transmedullary neuron 1; FBbt_00003789']
720575940605886240,"['Mi4; Medullary intrinsic neuron 4; FBbt_00003779', 'Medullary intrinsic neuron 4, Mi4, Mi4, FBbt_00003779 (Fischbach & Dittrich, 1989)']"
720575940605889760,['adult inferior bridge-superior posterior slope-protocerebral bridge neuron; CCP-VMP-PB; CLVLP; CRVRP; IbSpsP; FBbt_00111383']
720575940605891040,"['PAM11, a1']"
720575940605897760,['Mi10; Medullary intrinsic neuron 10; FBbt_00003785']
720575940605897900,['Retinula axon; R7']
720575940605903490,['Lobula Columnar neuron 21; LC21; Lcn21; FBbt_00111756']
720575940605914470,['Tm4; Transmedullary neuron 4; FBbt_00003792']
720575940605917030,['Tm5Y; Transmedullary neuron 5Y; FBbt_00003831']
720575940605920480,['PSp3_dorsal']
720575940605924320,['Transmedullary 20; Tm20']
720575940605931180,['T5d; FBbt_00003740']
720575940605932320,['T2a; FBbt_00003729']
720575940605937330,['MeTu3c']
720575940605938110,['T5b; FBbt_00003738']
720575940605940000,['Lamina monopolar 5; L5']
720575940605943840,"['Mi4; Medullary intrinsic neuron 4; FBbt_00003779', 'Medullary intrinsic neuron 4, Mi4, Mi4, FBbt_00003779 (Fischbach & Dittrich, 1989)']"
720575940605943910,['Mi14; Medullary intrinsic neuron 14; FBbt_00111284']
720575940605961830,['Mi1; Medullary intrinsic neuron 1; FBbt_00003776']
720575940605962370,['Tm4; Transmedullary neuron 4; FBbt_00003792']
720575940605971330,['unclassified_IN_FW_336']
720575940605974630,['Centrifugal 2; C2']
720575940605978470,['T4c; FBbt_00003734']
720575940605981100,['Retinula axon; R1-6']
720575940605983660,['Retinula axon; R1-6']
720575940605984800,"['Dm3p', 'Dm3; Distal medullary amacrine neuron 3; FBbt_00003770']"
720575940605995710,['ocellar retinula cell']
720575940606005170,['Y3; FBbt_00003914']
720575940606007280,['Retinula axon 7/8; R7/8']
720575940606009120,['T4d; FBbt_00003735']
720575940606011570,['Tm2: Transmedullary neuron 2; FBbt_00003790']
720575940606014310,['T5b; FBbt_00003738']
720575940606028210,['pCd1?']
720575940606034860,['Mi1; Medullary intrinsic neuron 1; FBbt_00003776']
720575940606039980,['Tm5c; Transmedullary neuron 5c; FBbt_00110074']
720575940606047660,['Lamina wide field 1; Lawf1']
720575940606050220,['L4']
720575940606056370,"['Mi2; Medullary intrinsic neuron 2; FBbt_00003777', 'Mi14; Medullary intrinsic neuron 14; FBbt_00111284']"
720575940606056550,"['transmedullary neuron Tm9, FBbt_00003797 (Fischbach and Dittrich 1989)']"
720575940606057900,['Mi1; Medullary intrinsic neuron 1; FBbt_00003776']
720575940606082750,['Lamina monopolar 4; L4']
720575940606085360,['Retinula axon; R1-6']
720575940606089900,"['Centrifugal 2; C2', 'Centrifugal; C']"
720575940606093490,['transmedullary neuron Tm9; Cholinergic; FBbt_00003797']
720575940606095550,['Transmedullary 9; Tm9']
720575940606098860,['Transmedullary 5b; Tm5b']
720575940606108350,['Y3; FBbt_00003914']
720575940606112240,['Retinula axon; R1-6']
720575940606112940,"['DNg13 (potential); This resembles DNg13 from Namiki et al and receives input from DNp09', 'DNg']"
720575940606114220,['(new type) Lobula Columnar 123_L456-TmY5a.Y3.LLP100; LC123_L456-TmY5a.Y3.LLP100']
720575940606118590,['T4b; FBbt_00003733']
720575940606130720,"['Retinula axon; R1-6', 'Retinula axons']"
720575940606130860,['SLPav1_lateral']
720575940606137190,['Tm3; Transmedullary neuron 3; FBbt_00003791']
720575940606139680,['Retinula axon: R 1-6']
720575940606139820,['Lamina monopolar 2; L2']
720575940606144870,"['(new type) Lobula Intrinsic 108a_345a6; Li108a_345a6', '(new type) Lobula Intrinsic 108_345a6; Li108_345a6', 'Lobula intrinsic 1; Li1']"
720575940606154370,"['JO-E', 'JO-FW_EDC_8']"
720575940606173630,['Lobula Columnar neuron 16; LC16; Lcn16; FBbt_00111751']
720575940606190770,['TmY15; Transmedullary Y neuron 15; FBbt_00048246']
720575940606202290,['Tm4; Transmedullary neuron 4; FBbt_00003792']
720575940606214590,['Retinula axon; R1-6']
720575940606216480,['Tm4; Transmedullary neuron 4; FBbt_00003792']
720575940606227890,"['ORN_DA1; Or67d; FBbt_00067031', 'antennal lobe olfactory and thermo/hygrosensory receptor neuron (ALRN)', 'sensory, DA1, ORN']"
720575940606231730,['T3; FBbt_00003730']
720575940606233190,['T5c; FBbt_00003739']
720575940606267070,['Tm3; Transmedullary neuron 3; FBbt_00003791']
720575940606268290,"['lobula columnar neuron LC20; (e.g. Panser et al. Curr Biol 2016, Wu et al. eLife 2016)']"
720575940606269030,"['Transmedullary Y neuron 17, TmY17 (A. Nern naming system)']"
720575940606311200,['Retinula axon; R1-6']
720575940606315040,['Retinula axon; R1-6']
720575940606332350,['Lamina monopolar 2; L2']
720575940606335410,['pCd1?']
720575940606352050,"['lobula columnar neuron LC24, FBbt_00111759']"
720575940606366850,['DM6_dorsal']
720575940606380390,['Retinula axon 1-6; R1-6']
720575940606385440,"['AL local neuron, ALLN']"
720575940606388000,['Retinula axon; R1-6']
720575940606397630,['Retinula axon; R1-6']
720575940606398240,['Mi1; Medullary intrinsic neuron 1; FBbt_00003776']
720575940606406530,['Lamina monopolar 1; L1']
720575940606407270,['Retinula axon 1-6; R1-6']
720575940606409150,['Retinula axon; R1-6']
720575940606416230,['Retinula axon; R1-6']
720575940606418110,['(new type) Medula Lobula 102_M24-L45; ML102_M24-L45']
720575940606423170,['lobula columnar neuron LC9; (e.g. Otsuna']
720575940606425790,"['Tm113b', '(new type) Transmedullary 100_M68-L5; Tm100_M68-L5']"
720575940606428850,['up_DN1_IN_2']
720575940606430310,['Mi8; Medullary intrinsic neuron 8; FBbt_00003783']
720575940606433410,['SMPpv2']
720575940606437920,['Retinula axon 8 R8']
720575940606437990,['Retinula axon; R1-6']
720575940606441150,['Tm1; Transmedullary neuron 1; FBbt_00003789']
720575940606444930,['T4a; FBbt_00003732']
720575940606447550,['Tm1; Transmedullary neuron 1; FBbt_00003789']
720575940606450110,['Retinula axon; R7']
720575940606453950,['Retinula axon; R1-6']
720575940606462240,['Dm10; Distal medullary amacrine neuron 10; FBbt_00110135']
720575940606469250,['Lamina monopolar 4; L4']
720575940606470590,['Retinula axon; R1-6']
720575940606483890,"['ORN_DL4; Or49a; Or85f; FBbt_00067055', 'antennal lobe olfactory and thermo/hygrosensory receptor neuron (ALRN)']"
720575940606488510,['T3; FBbt_00003730']
720575940606492350,['Retinula axon; R8']
720575940606503870,['Retinula axon; R1-6']
720575940606505090,['MeSps_unknown_2']
720575940606510950,['Retinula axon; R1-6']
720575940606517280,['Retinula axon 8; R8']
720575940606517950,['Mi15; Medullary intrinsic neuron 15; FBbt_00111285']
720575940606519910,['Retinula axon; R1-6']
720575940606521180,"['Lobula Columnar Neuron LC9, FBbt_00100480', 'LC9']"
720575940606537150,['TmY16; Transmedullary Y neuron 16; https://doi.org/10.1016/j.cub.2022.06.061']
720575940606543490,['L2 Lamina Monopolar']
720575940606559590,['Lamina monopolar 5; L5']
720575940606573600,['Proximal medulla 1a; Pm1a']
720575940606574210,['Lamina monopolar 2; L2']
720575940606578110,"['Retinula axon; R7', 'Retinula axon; R8']"
720575940606578790,"['Retinula axon 1-6 R1-6', 'Retinula axon; R1-6']"
720575940606603040,['T4b; FBbt_00003733']
720575940606608230,['(new type) Lobula Intrinsic 105_235; Li105_235']
720575940606612670,['Lamina monopolar 1; L1']
720575940606630590,['Retinula axon; R1-6']
720575940606635040,['TmY15; Transmedullary Y neuron 15; FBbt_00048246']
720575940606638880,"['Transmedullary 27Y; Tm27Y', 'Transmedullary 27; Tm27', 'Transmedullary Y 12; TmY12']"
720575940606640160,"['Transmedullary Y15; TmY15', '(new type) Medulla Lobula 101_M89-L235; ML101_M89-L235']"
720575940606640230,"['Retinula axon; R1-6', 'Retinula axon; R']"
720575940606652960,['Mi8; Medullary intrinsic neuron 8; FBbt_00003783']
720575940606657470,['T2a; FBbt_00003729']
720575940606661920,['TmY10; Transmedullary Y neuron 10; FBbt_00003828']
720575940606665760,['Transmedullary 5; Tm5']
720575940606672230,['Lamina monpolar 2; L2']
720575940606673510,['Centrifugal 2; C2']
720575940606675150,['Distal medulla 2b; Dm2b']
720575940606677340,['VLPl2_dorsal']
